FFR102;Hållbar utveckling - kritiska perspektiv & möjliga lösningar;TIELL;ELEKTROTEKNIK, HÖGSKOLEINGENJÖR;0113;Projekt;4;2015-09-29;G;1;100
SJO401;Sjöfartsekonomi;TSJKL;SJÖKAPTENSPROGRAM;0110;Inlämningsuppgift;1,5;2015-09-29;G;1;100
MVE801;Förberedande kurs i matematik;CA;-;0114;Förberedande kurs i matematik, del 1A;1,5;2015-09-28;G;2;100
MVE801;Förberedande kurs i matematik;CA;-;0214;Förberedande kurs i matematik, del 1B;3;2015-09-28;G;8;100
MVE801;Förberedande kurs i matematik;CA;-;0314;Förberedande kurs i matematik, del 2;3;2015-09-28;G;6;100
AMU019;Hållbar utveckling och designprofessionerna;MPDSD;ARKITEKTUR OCH PLANERING FÖR HÅLLBAR UTVECKLING, MASTERPROGRAM;0113;Inlämningsuppgift;7,5;2015-09-28;G;1;100
BOMX02;Masterexamensarbete vid Bygg- och miljöteknik;TKVOV;VÄG- OCH VATTENBYGGNAD, CIVILINGENJÖR;0108;Examensarbete;30;2015-09-28;G;2;100
MTTX04;Masterexamensarbete vid Material- och tillverkningsteknik;TKMAS;MASKINTEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2015-09-28;G;1;100
SSYX04;Masterexamensarbete vid Signaler och system;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2015-09-28;G;1;100
CIP017;Teknikbaserat entreprenörskap;MPBDP;ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM;0114;Laboration;3;2015-09-28;G;42;100
MTF270;Turbulensmodellering;MPAME;TILLÄMPAD MEKANIK, MASTERPROGRAM;0102;Tentamen;7,5;2015-09-28;3;2;100
CIUX02;Masterexamensarbete vid Tillämpad informationsteknologi;TKITE;INFORMATIONSTEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2015-09-27;G;2;100
