BOMX03;Examensarbete vid Bygg- och miljöteknik;TIBYL;BYGGTEKNIK, HÖGSKOLEINGENJÖR;0108;Examensarbete;15;2014-08-31;G;2;100
ENMX04;Masterexamensarbete vid Energi och miljö;TKMAS;MASKINTEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2014-08-31;G;1;100
CIUX02;Masterexamensarbete vid Tillämpad informationsteknologi;TKITE;INFORMATIONSTEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2014-08-31;G;1;100
MVE085;Flervariabelanalys;TKVOV;VÄG- OCH VATTENBYGGNAD, CIVILINGENJÖR;0105;Tentamen;7,5;2014-08-30;3;17;55
MVE085;Flervariabelanalys;TKVOV;VÄG- OCH VATTENBYGGNAD, CIVILINGENJÖR;0105;Tentamen;7,5;2014-08-30;U;14;45
TMA043;Flervariabelanalys;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0106;Tentamen;7,5;2014-08-30;3;16;57
TMA043;Flervariabelanalys;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0106;Tentamen;7,5;2014-08-30;4;2;7
TMA043;Flervariabelanalys;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0106;Tentamen;7,5;2014-08-30;U;10;36
TMA044;Flervariabelanalys;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0214;Tentamen;6;2014-08-30;U;1;100
MVE041;Flervariabelmatematik;TKAUT;AUTOMATION OCH MEKATRONIK, CIVILINGENJÖR;0108;Tentamen;6;2014-08-30;3;9;56
MVE041;Flervariabelmatematik;TKAUT;AUTOMATION OCH MEKATRONIK, CIVILINGENJÖR;0108;Tentamen;6;2014-08-30;4;2;13
MVE041;Flervariabelmatematik;TKAUT;AUTOMATION OCH MEKATRONIK, CIVILINGENJÖR;0108;Tentamen;6;2014-08-30;U;5;31
TMA401;Funktionalanalys;MPENM;MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM;0101;Tentamen;7,5;2014-08-30;3;1;50
TMA401;Funktionalanalys;MPENM;MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM;0101;Tentamen;7,5;2014-08-30;4;1;50
TIF256;Fysik;TKKMT;KEMITEKNIK, CIVILINGENJÖR;0212;Dugga;1,5;2014-08-30;G;6;100
BOMX02;Masterexamensarbete vid Bygg- och miljöteknik;TKVOV;VÄG- OCH VATTENBYGGNAD, CIVILINGENJÖR;0108;Examensarbete;30;2014-08-30;G;1;100
MVE115;Matematisk analys i flera variabler;TKATK;ARKITEKTUR OCH TEKNIK;0106;Tentamen;7,5;2014-08-30;3;2;18
MVE115;Matematisk analys i flera variabler;TKATK;ARKITEKTUR OCH TEKNIK;0106;Tentamen;7,5;2014-08-30;4;3;27
MVE115;Matematisk analys i flera variabler;TKATK;ARKITEKTUR OCH TEKNIK;0106;Tentamen;7,5;2014-08-30;U;6;55
MVE255;Matematisk analys i flera variabler;TKMAS;MASKINTEKNIK, CIVILINGENJÖR;0108;Tentamen;7,5;2014-08-30;3;11;61
MVE255;Matematisk analys i flera variabler;TKMAS;MASKINTEKNIK, CIVILINGENJÖR;0108;Tentamen;7,5;2014-08-30;U;7;39
