TDA341;Advanced functional programming;MPALG;DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM;0207;Laboration;0;2011-08-31;G;1;100
TME195;Advanced passive safety;MPAUT;FORDONSTEKNIK, MASTERPROGRAM;0109;Tentamen;7,5;2011-08-31;3;1;100
ENM080;Air-conditioning, refrigeration and heat pump technology;MPSES;HÅLLBARA ENERGISYSTEM, MASTERPROGRAM;0108;Tentamen;7,5;2011-08-31;3;1;100
CIU036;Artificial intelligence 2;ITIDM;INTELLIGENT SYSTEMS DESIGN;0107;Tentamen;7,5;2011-08-31;3;3;75
CIU036;Artificial intelligence 2;ITIDM;INTELLIGENT SYSTEMS DESIGN;0107;Tentamen;7,5;2011-08-31;4;1;25
KBT036;Avancerad organisk kemi;MPMCN;MATERIALKEMI OCH NANOTEKNIK, MASTERPROGRAM;0107;Tentamen;4,5;2011-08-31;3;2;100
IBBX04;Byggnadsekonomi och byggnadsorganisation;TVOVA;VÄG- OCH VATTENBYGGNAD;0194;Examensarbete;30;2011-08-31;G;1;100
LEU470;Elektriska kretsar;TIELL;ELEKTROTEKNIK, HÖGSKOLEINGENJÖR;0204;Laboration;1,5;2011-08-31;G;1;100
TIF190;Fysik för ingenjörer 1: Fysik för hållbar utveckling;TKIEK;INDUSTRIELL EKONOMI, CIVILINGENJÖR;0208;Laboration;1,5;2011-08-31;G;1;100
MVE800;Förberedande introduktionskurs i matematik;CA;-;0106;Tentamen, del A;4,5;2011-08-31;G;2;100
MVE800;Förberedande introduktionskurs i matematik;CA;-;0206;Tentamen, del B;3;2011-08-31;G;9;100
VMT031;Hydrologi och hydrogeologi;TKVOV;VÄG- OCH VATTENBYGGNAD, CIVILINGENJÖR;0204;Projekt;2,3;2011-08-31;G;4;100
TDA605;Introduktion till programmering;TKDAT;DATATEKNIK, CIVILINGENJÖR;0104;Laboration;1,5;2011-08-31;G;85;100
BMTX01;Kandidatarbete vid Bygg- och miljöteknik;TKVOV;VÄG- OCH VATTENBYGGNAD, CIVILINGENJÖR;0106;Projekt, del A;0;2011-08-31;G;1;100
KLI011;Livsmedelskemi;MPBIO;BIOTEKNIK, MASTERPROGRAM;0107;Tentamen;7,5;2011-08-31;3;1;100
KBTX05;Masterexamensarbete vid Kemi- och bioteknik;TKKMT;KEMITEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2011-08-31;G;1;100
KBTX60;Masterexamensarbete vid Kemi- och bioteknik;TKKMT;KEMITEKNIK, CIVILINGENJÖR;0109;Examensarbete, del A;30;2011-08-31;G;1;100
KBTX60;Masterexamensarbete vid Kemi- och bioteknik;TKKMT;KEMITEKNIK, CIVILINGENJÖR;0209;Examensarbete, del B;30;2011-08-31;G;1;100
MCCX60;Masterexamensarbete vid Mikroteknologi och nanovetenskap;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0209;Examensarbete, del B;30;2011-08-31;G;1;100
PPUX05;Masterexamensarbete vid Produkt- och produktionsutveckling;TKDES;TEKNISK DESIGN, CIVILINGENJÖR;0108;Examensarbete;30;2011-08-31;G;2;100
SSYX04;Masterexamensarbete vid Signaler och system;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2011-08-31;G;3;100
TEKX08;Masterexamensarbete vid Teknikens ekonomi och organisation;TKIEK;INDUSTRIELL EKONOMI, CIVILINGENJÖR;0108;Examensarbete;30;2011-08-31;G;1;100
TMEX04;Masterexamensarbete vid Tillämpad mekanik;TKMAS;MASKINTEKNIK, CIVILINGENJÖR;0108;Examensarbete;30;2011-08-31;G;1;100
MKM110;Mikrosystemteknik;MPNAT;NANOTEKNOLOGI, MASTERPROGRAM;0104;Tentamen;7,5;2011-08-31;3;1;100
TDA540;Objektorienterad programmering;TKAUT;AUTOMATION OCH MEKATRONIK, CIVILINGENJÖR;0204;Laboration;3;2011-08-31;G;2;100
TDA367;Objektorienterat programmeringsprojekt;TKITE;INFORMATIONSTEKNIK, CIVILINGENJÖR;0109;Projekt;7,5;2011-08-31;3;4;80
TDA367;Objektorienterat programmeringsprojekt;TKITE;INFORMATIONSTEKNIK, CIVILINGENJÖR;0109;Projekt;7,5;2011-08-31;5;1;20
EDA281;Parallel computer organization and design;MPNET;NETWORKS AND DISTRIBUTED SYSTEMS, MSC PROGR;0107;Tentamen;6;2011-08-31;5;1;100
TEK235;Samhällsentreprenörskap;MPBDP;ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM;0106;Inlämningsuppgift;7,5;2011-08-31;G;1;100
KAA060;Transportprocesser;TKKMT;KEMITEKNIK, CIVILINGENJÖR;0193;Tentamen;7,5;2011-08-31;3;1;100
TME200;Vehicle and traffic safety;MPAUT;FORDONSTEKNIK, MASTERPROGRAM;0109;Tentamen;7,5;2011-08-31;5;1;100
MPP111;Avancerad formlära;MPDES;TEKNISK DESIGN, MASTERPROGRAM;0109;Inlämningsuppgift;7,5;2011-08-30;4;1;50
MPP111;Avancerad formlära;MPDES;TEKNISK DESIGN, MASTERPROGRAM;0109;Inlämningsuppgift;7,5;2011-08-30;5;1;50
BOMX03;Examensarbete vid Bygg- och miljöteknik;TIBYL;BYGGTEKNIK, HÖGSKOLEINGENJÖR;0108;Examensarbete;15;2011-08-30;G;1;100
FFY401;Fysik;TKELT;ELEKTROTEKNIK, CIVILINGENJÖR;0102;Tentamen;7,5;2011-08-30;3;1;100
MVE800;Förberedande introduktionskurs i matematik;CA;-;0106;Tentamen, del A;4,5;2011-08-30;G;1;100
LNC261;Företagsförlagt projektarbete;TSLOG;SJÖFART OCH LOGISTIK;0208;Inlämningsuppgift, del B;3;2011-08-30;G;1;100
PPU105;Grafisk design och presentation;TKDES;TEKNISK DESIGN, CIVILINGENJÖR;0107;Tentamen;4,5;2011-08-30;3;3;30
PPU105;Grafisk design och presentation;TKDES;TEKNISK DESIGN, CIVILINGENJÖR;0107;Tentamen;4,5;2011-08-30;4;4;40
PPU105;Grafisk design och presentation;TKDES;TEKNISK DESIGN, CIVILINGENJÖR;0107;Tentamen;4,5;2011-08-30;5;3;30
